XPOS;TEAM;XPTS;LEAGUE%;KO P/0%;LAST 16%;QF%;SF%;FINAL%;WINNER%
1;Team A;18,0;8,0;2,0;90,0;45,0;22,0;10,0;4,0
2;Team B;17,5;4,0;6,0;85,0;42,0;20,0;9,0;3,5
3;Team C;16,8;2,0;10,0;82,0;38,0;18,0;8,0;3,0
4;Team D;16,2;1,0;14,0;78,0;35,0;15,0;7,0;2,5
5;Team E;15,8;0,5;18,0;75,0;32,0;12,5;6,0;2,0
6;Team F;15,4;0,2;22,0;72,0;29,0;10,0;5,0;1,5
7;Team G;15,0;0,1;26,0;69,0;26,0;8,5;4,0;1,0
8;Team H;14,6;0,0;30,0;65,0;23,0;7,0;3,0;0,8
9;Team I;14,2;0,0;34,0;60,0;20,0;6,0;2,5;0,6
10;Team J;13,8;0,0;38,0;55,0;17,5;5,0;2,0;0,5
11;Team K;13,4;0,0;42,0;50,0;15,0;4,5;1,8;0,4
12;Team L;13,0;0,0;46,0;45,0;13,0;4,0;1,5;0,3
13;Team M;12,6;0,0;50,0;40,0;11,5;3,5;1,2;0,25
14;Team N;12,2;0,0;54,0;35,0;10,0;3,0;1,0;0,2
15;Team O;11,8;0,0;58,0;30,0;8,5;2,5;0,8;0,15
16;Team P;11,4;0,0;62,0;25,0;7,5;2,0;0,6;0,1
17;Team Q;11,0;0,0;66,0;20,0;6,5;1,8;0,5;0,08
18;Team R;10,6;0,0;70,0;15,0;5,5;1,5;0,4;0,06
19;Team S;10,2;0,0;74,0;12,0;4,5;1,2;0,3;0,04
20;Team T;9,8;0,0;78,0;10,0;3,5;1,0;0,2;0,03
21;Team U;9,4;0,0;82,0;8,0;3,0;0,8;0,15;0,02
22;Team V;9,0;0,0;86,0;6,0;2,5;0,6;0,1;0,01
23;Team W;8,6;0,0;90,0;4,0;2,0;0,5;0,05;0,0
24;Team X;8,2;0,0;94,0;2,0;1,5;0,4;0,02;0,0
25;Team Y;7,8;0,0;9,5;0,5;1,0;0,2;0,01;0,0
26;Team Z;7,4;0,0;7,0;0,2;0,08;0,1;0,0;0,0
27;Team AA;7,0;0,0;5,0;0,1;0,05;0,05;0,0;0,0
28;Team BB;6,6;0,0;3,0;0,05;0,02;0,02;0,0;0,0
29;Team CC;6,2;0,0;2,0;0,02;0,01;0,01;0,0;0,0
30;Team DD;5,8;0,0;1,0;0,01;0,0;0,0;0,0;0,0
31;Team EE;5,4;0,0;0,5;0,0;0,0;0,0;0,0;0,0
32;Team FF;5,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0
33;Team GG;4,6;0,0;0,1;0,0;0,0;0,0;0,0;0,0
34;Team HH;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
35;Team II;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0
36;Team JJ;3,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
